CODEASSU;CODEINTE;CODECATE;PRIMENETTE;PRIMETOTALE
9584;1110;401;468887.0;563922.0
10208;1110;401;73202.0;91872.0
9985;1110;401;105751.0;130686.0
13138;1110;402;109327.0;134951.0
8322;1110;403;274132.0;331481.0
9822;1110;401;108751.0;134263.0
9738;1110;401;66632.0;84036.0
8323;1110;400;14565.0;46695.0
9822;1110;401;84671.0;105549.0
9822;1110;401;0.0;0.0
9822;1110;401;0.0;0.0
12410;1110;401;18649.0;26817.0
14342;1110;401;73202.0;91871.0
12120;1110;401;16100.0;23778.0
11172;1110;401;105751.0;130686.0
11145;1110;405;8960.0;15262.0
14009;1110;401;45067.0;58320.0
8336;1110;401;18499.0;26638.0
8564;1110;401;66632.0;84036.0
10842;1110;401;66632.0;84036.0
8197;1110;401;25760.0;35297.0
9746;1110;405;9955.0;16450.0
8901;1110;402;25969.0;35547.0
13412;1110;400;87051.0;190860.0
8630;1110;401;19999.0;28427.0
11773;1110;400;63789.0;158310.0
11777;1110;401;93245.0;115773.0
8494;1110;402;124435.0;152966.0
13645;1110;420;32201.0;42979.0
8208;1110;401;20554.0;29089.0
12177;1110;401;93245.0;115773.0
11686;1110;401;84671.0;105549.0
8278;1110;400;24995.0;103980.0
8278;1110;400;24995.0;51990.0
8323;1110;401;27773.0;31773.0
9796;1110;401;26418.0;36082.0
9626;1110;401;77172.0;96605.0
11468;1110;401;51387.0;65857.0
15149;1110;401;66632.0;84036.0
8731;1110;405;19137.0;27399.0
10182;1110;400;-58780.0;-138469.0
10198;1110;401;14175.0;21482.0
13430;1110;401;105889.0;130850.0
12167;1110;401;142432.0;174428.0
13388;1110;401;105715.0;130643.0
8630;1110;401;84671.0;105549.0
9230;1110;402;109327.0;134951.0
9129;1110;401;66632.0;84036.0
12970;1110;401;66632.0;84036.0
11512;1110;401;84671.0;105549.0
10651;1110;401;39999.0;52277.0
10435;1110;401;85673.0;106743.0
8869;1110;401;105751.0;130686.0
10728;1110;401;19054.0;27300.0
12552;1110;401;84671.0;105549.0
8651;1110;401;40252.0;52579.0
10040;1110;402;75929.0;95124.0
8454;1110;401;110251.0;136052.0
8460;1110;401;24260.0;33508.0
13649;1110;401;14175.0;21482.0
14718;1110;401;66632.0;84036.0
15062;1110;401;-32249.0;-38457.0
8654;1110;401;29281.0;38303.0
12383;1110;401;25760.0;35297.0
8655;1110;401;30832.0;41345.0
14202;1110;401;66632.0;84036.0
14933;1110;402;110927.0;136859.0
10959;1110;405;16722.0;24519.0
10690;1110;405;10739.0;17384.0
11866;1110;401;66632.0;84036.0
13717;1110;401;344300.0;415156.0
10182;1110;403;70551.0;88710.0
11644;1110;401;82672.0;103166.0
12839;1110;401;16100.0;23778.0
8328;1110;401;84671.0;105549.0
8119;1110;401;105751.0;130686.0
9250;1110;401;25053.0;34454.0
13606;1110;401;155851.0;190430.0
14038;1110;401;81669.0;101968.0
8726;1110;401;66632.0;84036.0
11051;1110;420;25053.0;34454.0
9075;1110;401;66632.0;84036.0
8494;1110;401;100391.0;124294.0
14366;1110;401;84309.0;105117.0
12176;1110;401;57406.0;73035.0
8151;1110;401;74923.0;93924.0
8151;1110;401;57410.0;73039.0
8396;1110;405;9955.0;16450.0
9449;1110;401;87671.0;109126.0
10755;1110;401;32201.0;42979.0
10068;1110;401;17779.0;25780.0
8521;1110;400;16649.0;105894.0
10196;1110;401;84671.0;105549.0
8263;1110;402;48485.0;62396.0
11788;1110;401;66632.0;84036.0
11300;1110;401;87671.0;109126.0
13194;1110;401;16100.0;23778.0
8413;1110;401;176207.0;214704.0
12173;1110;401;152765.0;186751.0
8567;1110;401;14600.0;21989.0
10188;1110;402;109327.0;134951.0
10978;1110;401;105751.0;130686.0
12886;1110;401;73202.0;91871.0
13362;1110;401;66632.0;84036.0
14687;1110;401;66632.0;84036.0
8689;1110;401;16100.0;23778.0
11550;1110;404;219601.0;224601.0
13270;1110;402;169119.0;206253.0
10290;1110;402;77311.0;96772.0
10756;1110;401;25760.0;35297.0
9198;1110;401;83496.0;104147.0
9192;1110;401;14640.0;22037.0
11222;1110;400;779964.0;931108.0
11222;1110;400;495450.0;2277693.0
12053;1110;401;66632.0;84036.0
8413;1110;401;87671.0;109126.0
10246;1110;401;20554.0;29089.0
10360;1110;401;73202.0;91871.0
12410;1110;401;20554.0;29089.0
10651;1110;401;6379.0;12185.0
15034;1110;401;25760.0;35297.0
12120;1110;401;14641.0;22038.0
9430;1110;401;66632.0;84036.0
9766;1110;401;18499.0;26638.0
8594;1110;401;84671.0;105549.0
15102;1110;401;73202.0;91871.0
14844;1110;401;28606.0;38690.0
8545;1110;401;63789.0;80646.0
8454;1110;409;29674.0;39964.0
8225;1110;401;138251.0;169442.0
10134;1110;401;170164.0;206903.0
8435;1110;401;41109.0;53601.0
11121;1110;401;84671.0;105549.0
9198;1110;401;189301.0;230319.0
10626;1110;401;55498.0;70759.0
11108;1110;401;72778.0;91366.0
11108;1110;401;52994.0;67773.0
9188;1110;401;16100.0;23778.0
11654;1110;401;126353.0;155254.0
9656;1110;401;84671.0;105549.0
8554;1110;401;20554.0;29089.0
13284;1110;401;105751.0;130686.0
10140;1110;401;66632.0;84036.0
8551;1110;401;84671.0;105549.0
8690;1110;401;227763.0;276186.0
13816;1110;401;84671.0;105549.0
13574;1110;401;102889.0;127273.0
10246;1110;401;0.0;0.0
8630;1110;401;0.0;0.0
11236;1110;401;77172.0;96605.0
14138;1110;401;94258.0;116981.0
9334;1110;401;84671.0;105549.0
8712;1110;401;66632.0;84036.0
10435;1110;401;85673.0;106743.0
8782;1110;401;84671.0;105549.0
10757;1110;400;60058.0;282640.0
12880;1110;401;93245.0;115773.0
11658;1110;402;109327.0;134951.0
10453;1110;401;73202.0;91871.0
8197;1110;401;25760.0;35297.0
13697;1110;401;93245.0;115773.0
12741;1110;402;84811.0;105716.0
10719;1110;401;19999.0;28427.0
14340;1110;401;14175.0;21482.0
11115;1110;401;1147410.0;1151410.0
11115;1110;401;818447.0;822447.0
12472;1110;401;57410.0;73039.0
10197;1110;402;120563.0;148350.0
11750;1110;401;52269.0;66909.0
8353;1110;401;84671.0;105549.0
12614;1110;401;66632.0;84036.0
13755;1110;401;66632.0;84036.0
9012;1110;400;-63916.0;-74894.0
10624;1110;401;15675.0;23271.0
10143;1110;401;236705.0;286849.0
14924;1110;401;84671.0;105549.0
14700;1110;401;84671.0;105549.0
15045;1110;401;116668.0;143705.0
14652;1110;401;89711.0;111559.0
9530;1110;401;57410.0;73039.0
8355;1110;401;152885.0;186894.0
10040;1110;405;15050.0;22525.0
8460;1110;401;24260.0;33508.0
12576;1110;401;57410.0;73039.0
14098;1110;401;105751.0;130686.0
13760;1110;401;102772.0;127134.0
11340;1110;401;14175.0;21482.0
10182;1110;400;15742.0;23351.0
11330;1110;405;8960.0;15262.0
12382;1110;401;104711.0;129446.0
9589;1110;402;106382.0;131439.0
9589;1110;402;106382.0;131439.0
11488;1110;402;72511.0;91048.0
9430;1110;401;65903.0;83167.0
11478;1110;405;8960.0;15262.0
12383;1110;401;51519.0;66015.0
8538;1110;401;56702.0;72195.0
